x_m,y_m,w_tr_right_m,w_tr_left_m
-48.975,5.875,28.809,28.809
-48.975,5.925,28.81,28.81
-48.975,5.975,28.811,28.811
-48.975,6.025,28.813,28.813
-48.975,6.075,28.814,28.814
-48.975,6.125,28.816,28.816
-48.975,6.175,28.817,28.817
-48.975,6.225,28.819,28.819
-48.975,6.275,28.821,28.821
-48.975,6.325,28.823,28.823
-48.975,6.375,28.825,28.825
-48.975,6.425,28.827,28.827
-48.975,6.475,28.829,28.829
-48.975,6.525,28.832,28.832
-48.975,6.575,28.834,28.834
-48.975,6.625,28.836,28.836
-48.975,6.675,28.839,28.839
-48.975,6.725,28.842,28.842
-48.975,6.775,28.844,28.844
-48.975,6.825,28.847,28.847
-48.975,6.875,28.85,28.85
-48.975,6.925,28.853,28.853
-48.975,6.975,28.856,28.856
-48.975,7.025,28.859,28.859
-48.975,7.075,28.863,28.863
-48.975,7.125,28.866,28.866
-48.975,7.175,28.869,28.869
-48.975,7.225,28.873,28.873
-48.975,7.275,28.876,28.876
-48.975,7.325,28.88,28.88
-48.975,7.375,28.884,28.884
-48.975,7.425,28.888,28.888
-48.975,7.475,28.892,28.892
-48.975,7.525,28.896,28.896
-48.975,7.575,28.9,28.9
-48.975,7.625,28.904,28.904
-48.975,7.675,28.908,28.908
-48.975,7.725,28.912,28.912
-48.975,7.775,28.914,28.914
-48.975,7.825,28.916,28.916
-48.975,7.875,28.917,28.917
-48.975,7.925,28.919,28.919
-48.975,7.975,28.921,28.921
-48.975,8.025,28.923,28.923
-48.975,8.075,28.925,28.925
-48.975,8.125,28.927,28.927
-48.975,8.175,28.929,28.929
-48.975,8.225,28.932,28.932
-48.975,8.275,28.934,28.934
-48.975,8.325,28.936,28.936
-48.975,8.375,28.939,28.939
-48.975,8.425,28.942,28.942
-48.975,8.475,28.944,28.944
-48.975,8.525,28.947,28.947
-48.975,8.575,28.95,28.95
-48.975,8.625,28.953,28.953
-48.975,8.675,28.956,28.956
-48.975,8.725,28.959,28.959
-48.975,8.775,28.962,28.962
-48.975,8.825,28.966,28.966
-48.975,8.875,28.969,28.969
-48.975,8.925,28.973,28.973
-48.975,8.975,28.976,28.976
-48.975,9.025,28.98,28.98
-48.975,9.075,28.984,28.984
-48.975,9.125,28.987,28.987
-48.975,9.175,28.991,28.991
-48.975,9.225,28.995,28.995
-48.975,9.275,28.999,28.999
-48.975,9.325,29.004,29.004
-48.925,9.375,28.958,28.958
-48.925,9.425,28.962,28.962
-48.925,9.475,28.967,28.967
-48.925,9.525,28.971,28.971
-48.925,9.575,28.976,28.976
-48.925,9.625,28.981,28.981
-48.925,9.675,28.986,28.986
-48.925,9.725,28.99,28.99
-48.925,9.775,28.995,28.995
-48.925,9.825,29.0,29.0
-48.925,9.875,29.006,29.006
-48.925,9.925,29.011,29.011
-48.925,9.975,29.016,29.016
-48.925,10.025,29.021,29.021
-48.925,10.075,29.027,29.027
