# x_m,y_m,w_tr_right_m,w_tr_left_m
17.6000,-41.0000,0.5385,0.5385
17.6000,-41.1000,0.5657,0.5657
17.6000,-41.2000,0.5000,0.5000
17.7000,-41.3000,0.5385,0.5385
17.7000,-41.4000,0.5099,0.5099
17.7000,-41.5000,0.5000,0.5000
17.8000,-41.6000,0.6000,0.6000
17.8000,-41.7000,0.6000,0.6000
17.9000,-41.8000,0.5831,0.5831
18.0000,-41.8000,0.6403,0.6403
18.1000,-41.9000,0.6403,0.6403
18.1000,-42.0000,0.5831,0.5831
18.2000,-42.1000,0.6325,0.6325
18.2000,-42.2000,0.6083,0.6083
18.3000,-42.3000,0.6708,0.6708
18.4000,-42.4000,0.7071,0.7071
18.5000,-42.5000,0.7071,0.7071
18.6000,-42.6000,0.7211,0.7211
18.7000,-42.6000,0.6708,0.6708
18.8000,-42.7000,0.7280,0.7280
18.9000,-42.7000,0.7071,0.7071
19.0000,-42.7000,0.7000,0.7000
19.1000,-42.7000,0.7000,0.7000
19.2000,-42.8000,0.8062,0.8062
19.3000,-42.8000,0.8246,0.8246
19.4000,-42.8000,0.8544,0.8544
19.5000,-42.8000,0.8944,0.8944
19.6000,-42.9000,1.0296,1.0296
19.7000,-42.9000,1.0198,1.0198
19.8000,-42.9000,0.9849,0.9849
19.9000,-42.8000,1.0440,1.0440
20.0000,-42.7000,1.1180,1.1180
20.0000,-42.6000,1.0630,1.0630
20.1000,-42.5000,1.0817,1.0817
20.1000,-42.4000,1.0296,1.0296
20.1000,-42.3000,0.9849,0.9849
20.1000,-42.2000,0.9487,0.9487
20.2000,-42.1000,1.0198,1.0198
20.2000,-42.0000,1.0050,1.0050
20.2000,-41.9000,1.0000,1.0000
20.1000,-41.8000,0.9000,0.9000
20.1000,-41.7000,0.9055,0.9055
20.1000,-41.6000,0.9220,0.9220
20.0000,-41.5000,0.8544,0.8544
20.0000,-41.4000,0.8944,0.8944
20.0000,-41.3000,0.9220,0.9220
20.0000,-41.2000,0.9487,0.9487
19.9000,-41.1000,0.8944,0.8944
19.9000,-41.0000,0.9000,0.9000
19.8000,-40.9000,0.8000,0.8000
19.8000,-40.8000,0.8000,0.8000
19.7000,-40.7000,0.7000,0.7000
19.7000,-40.6000,0.7000,0.7000
19.7000,-40.5000,0.7000,0.7000
19.6000,-40.4000,0.6000,0.6000
19.6000,-40.3000,0.6083,0.6083
19.6000,-40.2000,0.6325,0.6325
19.6000,-40.1000,0.6708,0.6708
19.6000,-40.0000,0.7211,0.7211
19.5000,-39.9000,0.6708,0.6708
19.5000,-39.8000,0.7211,0.7211
19.5000,-39.7000,0.6708,0.6708
19.4000,-39.6000,0.7280,0.7280
19.4000,-39.5000,0.7071,0.7071
19.3000,-39.4000,0.8000,0.8000
19.3000,-39.3000,0.7616,0.7616
19.2000,-39.2000,0.8000,0.8000
19.2000,-39.1000,0.8062,0.8062
19.2000,-39.0000,0.8000,0.8000
19.2000,-38.9000,0.7616,0.7616
19.1000,-38.8000,0.8000,0.8000
19.1000,-38.7000,0.8000,0.8000
19.1000,-38.6000,0.8000,0.8000
19.1000,-38.5000,0.8000,0.8000
19.0000,-38.4000,0.7616,0.7616
