# x_m,y_m,w_tr_right_m,w_tr_left_m
-39.0750,8.6750,23.3686,23.3686
-39.0750,8.7250,23.3568,23.3568
-39.0750,8.7750,23.3451,23.3451
-39.0750,8.8250,23.3335,23.3335
-39.0750,8.8750,23.3219,23.3219
-39.0750,8.9250,23.3105,23.3105
-39.0750,8.9750,23.2992,23.2992
-39.0750,9.0250,23.2880,23.2880
-39.0750,9.0750,23.2769,23.2769
-39.0750,9.1250,23.2659,23.2659
-39.0750,9.1750,23.2549,23.2549
-39.0750,9.2250,23.2441,23.2441
-39.0750,9.2750,23.2334,23.2334
-39.0750,9.3250,23.2228,23.2228
-39.0750,9.3750,23.2123,23.2123
-39.0750,9.4250,23.2019,23.2019
-39.0750,9.4750,23.1916,23.1916
-39.0750,9.5250,23.1815,23.1815
-39.0750,9.5750,23.1714,23.1714
-39.0750,9.6250,23.1614,23.1614
-39.0750,9.6750,23.1515,23.1515
-39.0750,9.7250,23.1417,23.1417
-39.0750,9.7750,23.1321,23.1321
-39.0750,9.8250,23.1225,23.1225
-39.0750,9.8750,23.1130,23.1130
-39.0750,9.9250,23.1037,23.1037
-39.0750,9.9750,23.0944,23.0944
-39.0750,10.0250,23.0853,23.0853
-39.0750,10.0750,23.0762,23.0762
-39.0750,10.1250,23.0673,23.0673
-39.0750,10.1750,23.0585,23.0585
-39.0750,10.2250,23.0497,23.0497
-39.0750,10.2750,23.0411,23.0411
-39.0750,10.3250,23.0326,23.0326
-39.0750,10.3750,23.0242,23.0242
-39.0750,10.4250,23.0159,23.0159
-39.0750,10.4750,23.0077,23.0077
-39.0750,10.5250,22.9996,22.9996
-39.0750,10.5750,22.9916,22.9916
-39.0750,10.6250,22.9837,22.9837
-39.0750,10.6750,22.9759,22.9759
-39.0750,10.7250,22.9682,22.9682
-39.0750,10.7750,22.9607,22.9607
-39.0750,10.8250,22.9532,22.9532
-39.0750,10.8750,22.9459,22.9459
-39.0750,10.9250,22.9386,22.9386
-39.0750,10.9750,22.9315,22.9315
-39.0750,11.0250,22.9244,22.9244
-39.0750,11.0750,22.9175,22.9175
-39.0750,11.1250,22.9107,22.9107
-39.0750,11.1750,22.9040,22.9040
-39.0750,11.2250,22.8974,22.8974
-39.0750,11.2750,22.8909,22.8909
-39.0750,11.3250,22.8845,22.8845
-39.0750,11.3750,22.8782,22.8782
-39.0750,11.4250,22.8720,22.8720
-39.0750,11.4750,22.8660,22.8660
-39.0750,11.5250,22.8600,22.8600
-39.0750,11.5750,22.8542,22.8542
-39.0750,11.6250,22.8484,22.8484
-39.0750,11.6750,22.8428,22.8428
-39.0750,11.7250,22.8373,22.8373
-39.0750,11.7750,22.8318,22.8318
-39.0750,11.8250,22.8265,22.8265
-39.0750,11.8750,22.8213,22.8213
-39.0750,11.9250,22.8162,22.8162
-39.0750,11.9750,22.8112,22.8112
-39.0750,12.0250,22.8064,22.8064
-39.0750,12.0750,22.8016,22.8016
-39.0750,12.1250,22.7969,22.7969
-39.0750,12.1750,22.7924,22.7924
-39.0750,12.2250,22.7879,22.7879
-39.0750,12.2750,22.7836,22.7836
-39.0750,12.3250,22.7794,22.7794
-39.0750,12.3750,22.7753,22.7753
-39.0750,12.4250,22.7713,22.7713
-39.0750,12.4750,22.7674,22.7674
-39.0750,12.5250,22.7636,22.7636
-39.0750,12.5750,22.7599,22.7599
-39.0750,12.6250,22.7563,22.7563
-39.0750,12.6750,22.7529,22.7529
-39.0750,12.7250,22.7495,22.7495
-39.0750,12.7750,22.7463,22.7463
-39.0750,12.8250,22.7431,22.7431
-39.0750,12.8750,22.7401,22.7401
